* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 65536-point spectrum using Hann window and no averaging 
* Dated: Nov 14, 2025, 5:27:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 65536-point spectrum using Hann window and no averaging  Input RMS 54.48 dB 54.1 dB C, 53.1 dB A 54.4 dB 22 - 22k UNW 
* Measurement: Creative Aurvana Ace 2 ANC
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	22.513
20.299999	23.582
20.600000	24.875
20.900000	25.784
21.200001	26.109
21.400000	26.028
21.799999	24.986
22.000000	24.045
22.400000	21.191
22.700001	18.224
23.000000	15.356
23.299999	12.488
23.600000	10.278
24.000000	8.324
24.299999	8.958
24.700001	13.922
25.000000	17.182
25.400000	20.057
25.799999	21.532
26.200001	21.610
26.500000	20.842
26.900000	18.620
27.200001	15.303
27.600000	11.168
28.000000	11.217
28.500000	13.480
29.000000	16.294
29.500000	16.903
30.000000	15.855
30.400000	14.073
30.700001	12.135
31.100000	10.375
31.500000	9.896
32.000000	9.089
32.500000	6.216
33.000000	1.988
33.500000	5.269
34.000000	9.404
34.500000	12.399
35.000000	13.142
35.500000	12.253
36.000000	9.896
36.500000	8.308
37.000000	9.455
37.500000	11.783
38.200001	13.615
38.700001	13.738
39.500000	12.313
40.000000	10.356
40.599998	7.744
41.200001	7.530
41.799999	12.073
42.500000	16.076
43.099998	17.440
43.700001	17.072
44.400002	14.493
45.000000	10.588
45.500000	7.850
46.200001	6.975
46.799999	7.627
47.500000	9.420
48.200001	12.468
48.700001	14.376
49.400002	15.635
50.000000	15.669
50.799999	16.298
51.500000	18.598
52.200001	21.142
53.000000	22.972
53.799999	23.454
54.500000	23.498
55.200001	24.237
56.000000	25.336
57.000000	25.317
58.000000	24.112
59.000000	22.887
60.000000	21.067
60.799999	19.122
61.500000	17.786
62.200001	16.751
63.000000	15.651
64.000000	18.019
65.000000	22.062
66.000000	23.336
67.000000	21.613
68.000000	17.440
69.000000	13.556
70.000000	13.488
71.000000	14.662
72.000000	15.013
73.000000	14.493
74.000000	14.289
75.000000	14.847
76.199997	15.074
77.500000	14.152
78.800003	13.369
80.000000	11.980
