* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 65536-point spectrum using Hann window and no averaging 
* Dated: Nov 14, 2025, 5:27:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 65536-point spectrum using Hann window and no averaging  Input RMS 68.32 dB 68.1 dB C, 68.3 dB A 68.3 dB 22 - 22k UNW 
* Measurement: Creative Aurvana Ace 2 Ambient
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	18.588
20.299999	18.306
20.600000	17.280
20.900000	15.991
21.200001	14.496
21.400000	13.466
21.799999	11.857
22.000000	11.184
22.400000	9.338
22.700001	7.577
23.000000	6.876
23.299999	7.460
23.600000	7.887
24.000000	7.406
24.299999	7.267
24.700001	7.622
25.000000	8.646
25.400000	11.342
25.799999	12.910
26.200001	13.237
26.500000	12.712
26.900000	11.136
27.200001	9.292
27.600000	6.718
28.000000	5.273
28.500000	4.162
29.000000	3.420
29.500000	2.281
30.000000	3.723
30.400000	5.324
30.700001	6.145
31.100000	6.469
31.500000	5.801
32.000000	5.585
32.500000	6.410
33.000000	8.062
33.500000	8.431
34.000000	7.985
34.500000	8.038
35.000000	9.435
35.500000	10.925
36.000000	11.503
36.500000	11.328
37.000000	10.789
37.500000	10.387
38.200001	9.096
38.700001	8.751
39.500000	11.294
40.000000	13.597
40.599998	16.155
41.200001	18.775
41.799999	21.280
42.500000	23.216
43.099998	23.892
43.700001	24.213
44.400002	25.950
45.000000	28.385
45.500000	30.081
46.200001	31.488
46.799999	31.739
47.500000	31.028
48.200001	29.262
48.700001	27.361
49.400002	24.090
50.000000	21.375
50.799999	18.559
51.500000	16.429
52.200001	14.377
53.000000	11.616
53.799999	10.719
54.500000	13.687
55.200001	16.784
56.000000	20.009
57.000000	23.872
58.000000	25.718
59.000000	26.443
60.000000	30.748
60.799999	34.283
61.500000	35.720
62.200001	35.527
63.000000	33.557
64.000000	29.761
65.000000	26.555
66.000000	25.572
67.000000	26.855
68.000000	27.266
69.000000	26.158
70.000000	24.750
71.000000	25.047
72.000000	26.667
73.000000	26.869
74.000000	25.710
75.000000	26.920
76.199997	30.817
77.500000	32.512
78.800003	31.963
80.000000	32.085
81.199997	31.465
82.500000	30.248
83.800003	31.587
85.000000	33.439
86.199997	34.819
87.500000	35.858
88.500000	36.661
90.000000	36.745
91.199997	35.643
92.500000	34.513
93.800003	33.032
95.000000	31.810
96.199997	31.108
97.500000	30.486
98.800003	31.041
100.000000	32.704
101.500000	34.634
103.000000	34.699
104.400002	34.271
106.000000	35.981
107.500000	36.940
109.000000	35.979
110.599998	34.965
112.000000	35.929
113.800003	36.858
115.000000	36.321
117.199997	36.873
118.000000	38.051
120.599998	40.648
122.000000	39.815
124.099998	40.691
125.000000	41.941
126.500000	42.853
128.000000	42.312
131.500000	42.840
132.000000	43.340
134.000000	44.967
136.000000	44.125
138.000000	41.706
140.000000	40.128
143.000000	39.565
145.000000	38.407
147.500000	34.888
150.000000	34.761
152.500000	35.279
155.000000	32.593
157.500000	29.376
160.000000	28.279
162.500000	30.439
165.000000	34.262
167.500000	36.395
170.000000	35.308
172.500000	34.116
175.000000	35.838
177.500000	37.255
180.000000	36.252
182.500000	33.967
185.000000	33.418
187.500000	34.437
190.000000	34.691
192.500000	32.870
195.000000	30.423
197.500000	29.923
200.000000	29.705
203.000000	29.795
206.000000	30.455
209.000000	31.844
212.000000	32.706
214.000000	31.969
218.000000	30.663
220.000000	31.702
