* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 65536-point spectrum using Hann window and no averaging 
* Dated: Nov 14, 2025, 5:18:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 65536-point spectrum using Hann window and no averaging  Input RMS 48.95 dB 47.6 dB C, 48.0 dB A 48.7 dB 22 - 22k UNW 
* Measurement: Earfun Air Pro 4 Plus ANC
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	25.015
20.299999	24.862
20.600000	24.076
20.900000	22.618
21.200001	20.224
21.400000	18.438
21.799999	15.267
22.000000	13.849
22.400000	12.931
22.700001	13.812
23.000000	14.817
23.299999	15.990
23.600000	17.011
24.000000	18.062
24.299999	18.198
24.700001	17.257
25.000000	15.883
25.400000	13.015
25.799999	11.180
26.200001	10.317
26.500000	9.767
26.900000	9.325
27.200001	9.218
27.600000	9.563
28.000000	11.036
28.500000	12.382
29.000000	12.652
29.500000	12.159
30.000000	11.824
30.400000	11.802
30.700001	12.023
31.100000	12.283
31.500000	12.436
32.000000	12.021
32.500000	10.760
33.000000	8.624
33.500000	5.802
34.000000	4.557
34.500000	4.922
35.000000	6.415
35.500000	7.403
36.000000	7.822
36.500000	7.637
37.000000	6.855
37.500000	5.340
38.200001	3.874
38.700001	5.423
39.500000	9.384
40.000000	10.589
40.599998	10.417
41.200001	8.958
41.799999	7.294
42.500000	6.669
43.099998	6.650
43.700001	6.973
44.400002	7.958
45.000000	8.626
45.500000	8.878
46.200001	8.759
46.799999	8.088
47.500000	6.601
48.200001	4.687
48.700001	3.656
49.400002	3.988
50.000000	6.079
50.799999	9.187
51.500000	12.012
52.200001	14.891
53.000000	17.158
53.799999	18.196
54.500000	18.993
55.200001	20.120
56.000000	21.255
57.000000	21.893
58.000000	21.900
59.000000	23.603
60.000000	25.491
60.799999	25.453
61.500000	24.695
62.200001	23.887
63.000000	22.910
64.000000	20.991
65.000000	18.107
66.000000	14.865
67.000000	15.717
68.000000	18.739
69.000000	20.049
70.000000	19.220
71.000000	18.005
72.000000	19.164
73.000000	21.520
74.000000	23.569
75.000000	23.873
76.199997	20.917
77.500000	15.325
78.800003	17.419
80.000000	21.052
81.199997	22.052
82.500000	19.496
83.800003	14.164
85.000000	11.873
86.199997	15.467
87.500000	19.292
88.500000	20.303
90.000000	18.814
91.199997	16.341
92.500000	13.401
93.800003	10.168
95.000000	7.828
96.199997	6.724
97.500000	7.191
98.800003	8.496
100.000000	10.513
101.500000	13.396
103.000000	14.680
104.400002	14.879
106.000000	14.768
107.500000	13.858
109.000000	12.903
110.599998	11.880
112.000000	10.132
113.800003	7.338
115.000000	7.116
117.199997	11.140
118.000000	11.941
120.599998	13.447
122.000000	15.313
124.099998	17.249
125.000000	17.889
126.500000	18.757
128.000000	19.214
131.500000	18.823
132.000000	18.230
134.000000	14.049
136.000000	9.772
138.000000	9.753
140.000000	11.268
143.000000	14.195
145.000000	14.408
147.500000	10.630
150.000000	5.512
152.500000	4.012
155.000000	3.794
157.500000	4.535
160.000000	4.614
162.500000	3.860
165.000000	2.557
167.500000	1.812
170.000000	1.966
172.500000	1.763
175.000000	2.392
177.500000	5.011
180.000000	8.196
182.500000	9.872
185.000000	9.950
187.500000	9.117
190.000000	8.831
192.500000	10.209
195.000000	11.442
197.500000	11.054
200.000000	8.979
203.000000	7.344
206.000000	8.556
209.000000	10.186
212.000000	11.922
214.000000	13.657
218.000000	17.577
220.000000	18.091
224.000000	17.229
227.000000	17.897
230.000000	18.585
233.000000	20.288
236.000000	22.112
240.000000	22.718
243.000000	22.119
247.000000	19.010
250.000000	16.157
254.000000	15.142
258.000000	14.437
262.000000	12.712
265.000000	12.361
269.000000	11.422
272.000000	8.995
276.000000	5.785
280.000000	7.532
285.000000	10.065
290.000000	10.879
295.000000	11.058
300.000000	10.147
304.000000	9.188
307.000000	8.049
311.000000	6.183
315.000000	4.356
320.000000	3.289
325.000000	3.409
330.000000	4.507
335.000000	5.338
340.000000	4.326
345.000000	2.530
350.000000	1.142
355.000000	-0.620
360.000000	-1.527
365.000000	-0.984
370.000000	-0.393
375.000000	-0.226
382.000000	1.672
387.000000	2.659
395.000000	3.401
400.000000	4.555
