* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 65536-point spectrum using Hann window and no averaging 
* Dated: Nov 14, 2025, 5:08:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 65536-point spectrum using Hann window and no averaging  Input RMS 65.55 dB 65.4 dB C, 64.7 dB A 65.5 dB 22 - 22k UNW 
* Measurement: Earfun Air Pro 4 Ambient
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	9.507
20.299999	10.675
20.600000	11.422
20.900000	11.808
21.200001	11.857
21.400000	11.695
21.799999	10.841
22.000000	10.178
22.400000	8.740
22.700001	7.556
23.000000	6.877
23.299999	6.774
23.600000	6.781
24.000000	6.707
24.299999	6.946
24.700001	7.874
25.000000	8.549
25.400000	9.387
25.799999	9.219
26.200001	7.970
26.500000	6.115
26.900000	2.971
27.200001	0.544
27.600000	-1.825
28.000000	-1.185
28.500000	1.247
29.000000	4.170
29.500000	5.918
30.000000	6.576
30.400000	6.546
30.700001	6.299
31.100000	5.711
31.500000	4.846
32.000000	3.479
32.500000	3.056
33.000000	4.120
33.500000	5.365
34.000000	5.243
34.500000	4.648
35.000000	4.724
35.500000	7.009
36.000000	8.774
36.500000	9.433
37.000000	8.843
37.500000	7.410
38.200001	5.342
38.700001	4.533
39.500000	5.609
40.000000	7.373
40.599998	9.478
41.200001	10.826
41.799999	11.396
42.500000	10.914
43.099998	9.564
43.700001	8.307
44.400002	8.868
45.000000	10.822
45.500000	12.719
46.200001	14.687
46.799999	15.114
47.500000	14.207
48.200001	12.948
48.700001	12.400
49.400002	12.474
50.000000	14.366
50.799999	19.799
51.500000	23.773
52.200001	26.230
53.000000	27.624
53.799999	28.004
54.500000	27.930
55.200001	28.258
56.000000	29.534
57.000000	30.332
58.000000	30.785
59.000000	34.858
60.000000	37.583
60.799999	37.434
61.500000	36.083
62.200001	34.445
63.000000	33.183
64.000000	33.247
65.000000	34.717
66.000000	35.334
67.000000	34.116
68.000000	32.320
69.000000	32.421
70.000000	33.671
71.000000	35.806
72.000000	38.294
73.000000	39.222
74.000000	37.894
75.000000	34.959
76.199997	31.845
77.500000	31.684
78.800003	33.061
80.000000	33.415
81.199997	33.087
82.500000	30.851
83.800003	29.148
85.000000	30.918
86.199997	31.850
87.500000	30.402
88.500000	29.594
90.000000	30.817
91.199997	31.334
92.500000	30.961
93.800003	30.974
95.000000	32.260
96.199997	32.955
97.500000	31.897
98.800003	29.929
100.000000	28.496
101.500000	27.907
103.000000	27.854
104.400002	28.582
106.000000	30.253
107.500000	30.178
109.000000	29.292
110.599998	30.350
112.000000	31.891
113.800003	33.343
115.000000	33.596
117.199997	33.104
118.000000	33.604
120.599998	36.506
122.000000	36.906
124.099998	36.622
125.000000	36.358
126.500000	36.288
128.000000	37.490
131.500000	42.572
132.000000	42.919
134.000000	42.016
136.000000	38.117
138.000000	34.858
140.000000	35.273
143.000000	36.238
145.000000	35.854
147.500000	34.766
150.000000	33.401
152.500000	30.786
155.000000	27.769
157.500000	25.961
160.000000	28.928
162.500000	31.765
165.000000	33.050
167.500000	33.993
170.000000	34.758
172.500000	34.001
175.000000	32.273
177.500000	31.211
180.000000	30.556
182.500000	30.875
185.000000	32.640
187.500000	33.159
190.000000	31.448
192.500000	28.779
195.000000	26.557
197.500000	24.045
200.000000	22.769
203.000000	24.706
206.000000	27.160
209.000000	29.547
212.000000	30.503
214.000000	30.643
218.000000	29.366
220.000000	27.852
224.000000	25.778
227.000000	26.855
230.000000	29.599
233.000000	31.863
236.000000	33.613
240.000000	35.293
243.000000	35.235
247.000000	33.613
250.000000	31.985
254.000000	33.342
258.000000	36.742
262.000000	38.308
265.000000	38.044
269.000000	36.990
272.000000	35.903
276.000000	33.731
280.000000	30.820
285.000000	26.348
290.000000	22.559
295.000000	19.985
300.000000	22.683
304.000000	26.715
307.000000	29.700
311.000000	33.529
315.000000	36.397
320.000000	37.698
325.000000	37.259
330.000000	37.531
335.000000	36.836
340.000000	34.647
345.000000	33.567
350.000000	33.756
355.000000	33.582
360.000000	32.923
365.000000	33.610
370.000000	35.241
375.000000	35.693
382.000000	33.892
387.000000	32.572
395.000000	30.218
400.000000	30.910
406.000000	32.403
412.000000	33.152
418.000000	33.737
425.000000	34.221
431.000000	34.505
437.000000	34.823
444.000000	34.514
450.000000	32.995
455.000000	30.540
462.000000	27.969
468.000000	29.346
475.000000	30.601
482.000000	31.011
487.000000	30.487
494.000000	28.935
500.000000	27.048
508.000000	24.291
515.000000	22.409
522.000000	23.445
530.000000	25.418
538.000000	26.413
545.000000	27.417
552.000000	29.084
560.000000	30.674
570.000000	31.564
580.000000	32.685
590.000000	31.903
600.000000	29.308
608.000000	29.834
615.000000	30.806
622.000000	31.705
630.000000	32.198
640.000000	33.118
650.000000	35.768
660.000000	37.243
670.000000	36.091
680.000000	33.596
690.000000	33.149
700.000000	33.224
710.000000	33.407
720.000000	33.123
730.000000	33.122
740.000000	34.021
750.000000	34.579
762.000000	33.424
775.000000	32.895
788.000000	32.605
800.000000	31.634
812.000000	31.037
825.000000	32.957
838.000000	33.205
850.000000	31.175
862.000000	29.348
875.000000	30.440
885.000000	32.395
900.000000	33.694
912.000000	33.484
925.000000	33.107
