* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 65536-point spectrum using Hann window and no averaging 
* Dated: Nov 14, 2025, 5:34:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 65536-point spectrum using Hann window and no averaging  Input RMS 47.70 dB 45.5 dB C, 46.3 dB A 47.4 dB 22 - 22k UNW 
* Measurement: Huawei Freebuds Pro 4 ANC
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	13.789
20.299999	13.901
20.600000	14.178
20.900000	14.099
21.200001	13.346
21.400000	12.675
21.799999	11.322
22.000000	10.610
22.400000	9.423
22.700001	8.730
23.000000	8.699
23.299999	9.429
23.600000	10.291
24.000000	11.597
24.299999	11.958
24.700001	11.049
25.000000	10.415
25.400000	9.816
25.799999	10.450
26.200001	11.881
26.500000	12.018
26.900000	11.430
27.200001	10.307
27.600000	8.852
28.000000	9.042
28.500000	9.884
29.000000	10.603
29.500000	10.173
30.000000	9.375
30.400000	8.570
30.700001	7.863
31.100000	7.198
31.500000	6.936
32.000000	8.501
32.500000	10.512
33.000000	11.665
33.500000	11.355
34.000000	9.690
34.500000	7.282
35.000000	4.979
35.500000	4.599
36.000000	4.928
36.500000	5.274
37.000000	5.099
37.500000	4.469
38.200001	3.483
38.700001	2.898
39.500000	1.799
40.000000	0.941
40.599998	0.224
41.200001	0.351
41.799999	1.158
42.500000	1.939
43.099998	2.115
43.700001	1.689
44.400002	0.715
45.000000	0.993
45.500000	2.538
46.200001	5.047
46.799999	6.479
47.500000	7.049
48.200001	6.954
48.700001	7.233
49.400002	8.541
50.000000	9.921
50.799999	11.083
51.500000	11.545
52.200001	11.606
53.000000	10.916
53.799999	10.837
54.500000	13.379
55.200001	16.520
56.000000	19.297
57.000000	21.782
58.000000	23.360
59.000000	23.179
60.000000	20.086
60.799999	15.435
61.500000	12.177
62.200001	12.045
63.000000	12.868
64.000000	12.044
65.000000	10.252
66.000000	10.123
67.000000	12.065
68.000000	14.018
69.000000	14.266
70.000000	13.697
71.000000	14.563
72.000000	15.314
73.000000	14.183
74.000000	12.418
75.000000	13.376
76.199997	17.851
77.500000	22.101
78.800003	23.397
80.000000	21.391
81.199997	17.176
82.500000	15.279
83.800003	15.815
85.000000	16.184
86.199997	17.623
87.500000	20.712
88.500000	22.294
90.000000	21.424
91.199997	18.446
92.500000	15.792
93.800003	14.952
95.000000	14.449
96.199997	14.149
97.500000	13.455
98.800003	11.764
100.000000	10.075
101.500000	9.338
103.000000	8.537
104.400002	6.866
106.000000	6.426
107.500000	7.140
109.000000	7.910
110.599998	8.260
112.000000	8.578
113.800003	11.226
115.000000	13.036
117.199997	14.285
118.000000	14.493
120.599998	16.797
122.000000	17.388
124.099998	16.867
125.000000	16.546
126.500000	15.476
128.000000	12.999
131.500000	12.059
132.000000	12.830
134.000000	14.512
136.000000	13.363
138.000000	10.421
140.000000	6.411
143.000000	3.750
145.000000	4.947
147.500000	5.003
150.000000	3.665
152.500000	2.361
155.000000	1.615
157.500000	1.169
160.000000	-1.192
162.500000	-2.491
165.000000	-0.355
167.500000	0.288
170.000000	0.737
172.500000	2.501
175.000000	3.140
177.500000	2.358
180.000000	1.755
182.500000	1.922
185.000000	0.565
187.500000	-1.240
190.000000	-1.117
192.500000	-0.434
195.000000	-0.714
197.500000	-1.386
200.000000	-1.474
203.000000	-0.511
206.000000	-0.176
209.000000	-0.605
212.000000	-1.906
214.000000	-2.363
218.000000	-1.599
220.000000	-0.509
224.000000	0.831
227.000000	0.706
230.000000	0.811
233.000000	0.595
236.000000	1.170
240.000000	4.073
243.000000	5.695
247.000000	6.032
250.000000	5.377
254.000000	4.170
258.000000	2.305
