* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 65536-point spectrum using Hann window and no averaging 
* Dated: Nov 14, 2025, 5:40:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 65536-point spectrum using Hann window and no averaging  Input RMS 53.68 dB 52.8 dB C, 50.4 dB A 53.6 dB 22 - 22k UNW 
* Measurement: Moondrop GA2 ANC
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	10.407
20.299999	8.326
20.600000	11.047
20.900000	13.661
21.200001	14.281
21.400000	14.463
21.799999	15.512
22.000000	16.215
22.400000	17.798
22.700001	19.132
23.000000	19.877
23.299999	20.008
23.600000	19.652
24.000000	18.188
24.299999	17.292
24.700001	16.761
25.000000	16.867
25.400000	17.844
25.799999	18.150
26.200001	17.726
26.500000	16.954
26.900000	15.531
27.200001	14.412
27.600000	13.004
28.000000	12.104
28.500000	11.256
29.000000	10.406
29.500000	8.893
30.000000	9.375
30.400000	10.801
30.700001	12.428
31.100000	13.964
31.500000	14.482
32.000000	13.677
32.500000	12.097
33.000000	10.851
33.500000	12.162
34.000000	13.902
34.500000	15.489
35.000000	16.585
35.500000	17.245
36.000000	17.475
36.500000	17.388
37.000000	17.081
37.500000	16.519
38.200001	14.744
38.700001	12.464
39.500000	7.048
40.000000	6.125
40.599998	9.060
41.200001	13.623
41.799999	16.019
42.500000	16.534
43.099998	15.343
43.700001	13.705
44.400002	14.338
45.000000	15.588
45.500000	15.721
46.200001	14.615
46.799999	14.466
47.500000	16.668
48.200001	19.396
48.700001	20.830
49.400002	22.646
50.000000	24.428
50.799999	26.397
51.500000	27.005
52.200001	27.646
53.000000	30.122
53.799999	32.524
54.500000	33.067
55.200001	32.671
56.000000	33.592
57.000000	36.143
58.000000	36.816
59.000000	35.869
60.000000	33.113
60.799999	29.215
61.500000	26.654
62.200001	26.739
63.000000	27.074
64.000000	25.676
65.000000	26.424
66.000000	28.977
67.000000	29.165
68.000000	26.568
69.000000	22.491
70.000000	20.976
71.000000	22.811
72.000000	24.778
73.000000	25.693
74.000000	25.227
75.000000	24.249
76.199997	25.203
77.500000	27.095
78.800003	29.202
80.000000	30.403
81.199997	29.955
82.500000	28.055
83.800003	25.100
85.000000	23.838
86.199997	24.708
87.500000	24.121
88.500000	22.847
90.000000	21.440
91.199997	21.054
92.500000	20.390
93.800003	19.284
95.000000	17.599
96.199997	15.369
97.500000	15.321
98.800003	17.403
100.000000	18.903
101.500000	19.618
103.000000	19.554
104.400002	20.935
106.000000	23.271
107.500000	24.207
109.000000	24.456
110.599998	26.257
112.000000	28.302
113.800003	30.940
115.000000	32.268
117.199997	32.010
118.000000	31.156
120.599998	29.714
122.000000	29.740
124.099998	31.932
125.000000	32.700
126.500000	32.293
128.000000	30.218
