* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 65536-point spectrum using Hann window and no averaging 
* Dated: Nov 14, 2025, 5:41:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 65536-point spectrum using Hann window and no averaging  Input RMS 67.43 dB 67.3 dB C, 66.2 dB A 67.4 dB 22 - 22k UNW 
* Measurement: Moondrop GA2 Ambient
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	23.547
20.299999	20.669
20.600000	16.826
20.900000	14.068
21.200001	13.319
21.400000	13.493
21.799999	15.162
22.000000	16.578
22.400000	18.208
22.700001	18.502
23.000000	18.024
23.299999	16.669
23.600000	15.094
24.000000	12.245
24.299999	12.172
24.700001	16.739
25.000000	19.678
25.400000	22.013
25.799999	23.076
26.200001	22.881
26.500000	21.956
26.900000	19.687
27.200001	16.706
27.600000	13.035
28.000000	12.882
28.500000	14.659
29.000000	17.011
29.500000	17.488
30.000000	16.534
30.400000	15.478
30.700001	14.773
31.100000	14.771
31.500000	16.038
32.000000	16.883
32.500000	16.493
33.000000	14.567
33.500000	10.972
34.000000	9.461
34.500000	10.263
35.000000	12.725
35.500000	14.072
36.000000	14.737
36.500000	14.751
37.000000	14.129
37.500000	12.799
38.200001	10.121
38.700001	8.270
39.500000	5.350
40.000000	3.600
40.599998	5.149
41.200001	11.574
41.799999	15.678
42.500000	17.448
43.099998	16.863
43.700001	14.608
44.400002	11.597
45.000000	11.328
45.500000	12.203
46.200001	13.298
46.799999	14.523
47.500000	18.365
48.200001	22.803
48.700001	24.670
49.400002	25.158
50.000000	23.867
50.799999	21.219
51.500000	21.298
52.200001	23.896
53.000000	26.928
53.799999	29.302
54.500000	32.032
55.200001	34.839
56.000000	36.587
57.000000	36.320
58.000000	36.184
59.000000	37.454
60.000000	36.914
60.799999	34.527
61.500000	31.414
62.200001	28.231
63.000000	25.167
64.000000	22.096
65.000000	22.073
66.000000	23.802
67.000000	24.726
68.000000	24.056
69.000000	21.275
70.000000	16.969
71.000000	14.886
72.000000	16.289
73.000000	18.145
74.000000	20.014
75.000000	21.271
76.199997	22.053
77.500000	22.381
78.800003	24.080
80.000000	27.457
81.199997	29.896
82.500000	29.658
83.800003	27.067
85.000000	24.886
86.199997	26.327
87.500000	30.019
88.500000	31.651
90.000000	32.140
91.199997	30.756
92.500000	28.686
93.800003	28.259
95.000000	27.991
96.199997	26.998
97.500000	26.341
98.800003	28.845
100.000000	30.948
101.500000	30.856
103.000000	30.350
104.400002	32.444
106.000000	34.968
107.500000	36.851
109.000000	38.266
110.599998	38.039
112.000000	36.802
113.800003	35.648
115.000000	35.135
117.199997	34.681
118.000000	34.815
120.599998	33.887
122.000000	32.066
124.099998	30.593
125.000000	31.301
126.500000	32.998
128.000000	35.245
131.500000	39.139
132.000000	39.267
134.000000	38.288
136.000000	35.280
138.000000	31.646
140.000000	31.070
143.000000	32.219
145.000000	32.688
147.500000	32.463
150.000000	30.295
152.500000	27.838
155.000000	28.106
157.500000	28.203
160.000000	28.993
162.500000	30.600
165.000000	30.596
167.500000	31.306
170.000000	32.287
172.500000	33.732
175.000000	34.481
177.500000	33.416
180.000000	31.884
182.500000	31.518
185.000000	31.574
187.500000	32.562
190.000000	33.151
192.500000	32.231
195.000000	30.984
197.500000	29.674
200.000000	27.460
203.000000	25.960
206.000000	27.365
209.000000	28.953
212.000000	30.455
214.000000	30.593
218.000000	28.803
220.000000	27.765
224.000000	29.502
227.000000	33.245
230.000000	36.430
233.000000	38.564
236.000000	40.078
240.000000	41.527
243.000000	41.230
247.000000	38.940
250.000000	38.378
254.000000	38.927
258.000000	41.270
262.000000	43.668
265.000000	43.749
269.000000	40.882
272.000000	37.872
276.000000	36.256
280.000000	35.589
285.000000	32.421
290.000000	29.441
295.000000	27.832
300.000000	26.375
304.000000	28.080
307.000000	30.262
311.000000	32.937
315.000000	35.305
320.000000	37.655
325.000000	38.667
330.000000	39.393
335.000000	39.807
340.000000	38.465
345.000000	35.309
350.000000	32.997
355.000000	33.079
360.000000	34.330
365.000000	34.771
370.000000	35.076
375.000000	34.819
382.000000	35.120
387.000000	35.678
395.000000	33.504
400.000000	32.229
406.000000	34.465
412.000000	37.357
418.000000	38.592
425.000000	38.634
431.000000	38.137
437.000000	37.371
444.000000	35.727
450.000000	34.009
455.000000	32.146
462.000000	31.160
468.000000	33.849
475.000000	35.755
482.000000	35.780
487.000000	35.558
494.000000	34.319
500.000000	32.423
508.000000	30.821
515.000000	29.266
522.000000	27.360
530.000000	26.890
538.000000	27.004
545.000000	29.161
552.000000	32.894
560.000000	35.760
570.000000	36.771
580.000000	36.384
590.000000	34.047
600.000000	31.384
608.000000	33.249
615.000000	35.528
622.000000	36.219
630.000000	35.503
640.000000	35.814
650.000000	38.028
660.000000	40.043
670.000000	40.861
680.000000	39.112
690.000000	36.940
700.000000	37.561
710.000000	37.661
720.000000	36.508
730.000000	35.975
740.000000	36.181
750.000000	35.675
762.000000	35.234
775.000000	35.407
788.000000	35.700
800.000000	36.046
812.000000	35.936
825.000000	36.535
838.000000	36.813
850.000000	35.685
862.000000	35.092
875.000000	34.593
885.000000	34.725
900.000000	35.246
912.000000	35.459
925.000000	35.787
938.000000	35.153
950.000000	33.399
962.000000	31.599
975.000000	32.211
988.000000	33.521
1000.000000	33.767
1015.000000	33.449
1030.000000	33.932
1044.000000	34.617
1060.000000	35.116
1075.000000	35.320
1090.000000	35.110
1106.000000	34.198
1120.000000	33.750
1138.000000	35.383
1150.000000	36.355
1172.000000	36.742
1180.000000	36.148
1206.000000	33.211
1220.000000	32.368
1241.000000	32.403
1250.000000	32.285
1265.000000	31.454
1280.000000	30.276
1315.000000	29.138
1320.000000	29.250
1340.000000	29.836
1360.000000	30.066
1380.000000	29.965
1400.000000	29.921
1430.000000	28.633
1450.000000	27.693
1475.000000	27.214
1500.000000	27.757
1525.000000	29.043
1550.000000	29.898
1575.000000	30.726
1600.000000	31.025
1625.000000	30.744
1650.000000	30.746
1675.000000	30.514
1700.000000	28.783
1725.000000	26.912
1750.000000	25.803
1775.000000	25.143
1800.000000	25.055
1825.000000	25.849
1850.000000	25.616
1875.000000	24.565
1900.000000	24.683
1925.000000	25.492
1950.000000	24.667
1975.000000	23.144
2000.000000	22.884
2030.000000	23.285
2060.000000	23.240
2090.000000	24.315
2120.000000	25.607
2140.000000	26.134
2180.000000	27.407
2200.000000	27.936
2240.000000	28.174
2270.000000	27.568
2300.000000	26.821
2330.000000	25.510
2360.000000	23.875
2400.000000	22.765
2430.000000	23.508
2470.000000	24.789
2500.000000	24.495
2540.000000	22.744
2580.000000	21.179
2620.000000	21.997
2650.000000	22.964
2690.000000	24.236
2720.000000	25.002
2760.000000	26.119
2800.000000	26.194
2850.000000	25.678
2900.000000	25.034
2950.000000	25.025
3000.000000	25.080
3040.000000	24.972
3070.000000	25.078
3110.000000	25.033
3150.000000	24.876
3200.000000	25.453
3250.000000	26.396
3300.000000	26.762
3350.000000	26.509
3400.000000	25.305
3450.000000	24.362
3500.000000	23.270
3550.000000	22.185
3600.000000	21.201
3650.000000	19.366
3700.000000	18.231
3750.000000	19.221
3820.000000	20.225
3870.000000	21.218
3950.000000	22.301
4000.000000	23.312
4060.000000	23.835
4120.000000	24.514
4180.000000	25.410
4250.000000	24.685
4310.000000	22.217
4370.000000	19.610
4440.000000	17.210
4500.000000	15.558
4550.000000	13.814
4620.000000	12.049
4680.000000	13.392
4750.000000	15.313
4820.000000	15.730
4870.000000	14.296
4940.000000	11.329
5000.000000	9.995
5080.000000	9.453
5150.000000	8.950
5220.000000	8.043
5300.000000	7.274
5380.000000	6.478
5450.000000	5.698
5520.000000	4.826
5600.000000	4.198
5700.000000	4.045
5800.000000	3.631
5900.000000	3.633
6000.000000	5.018
6080.000000	6.028
6150.000000	6.611
6220.000000	6.872
6300.000000	6.862
6400.000000	8.105
6500.000000	10.461
6600.000000	11.142
6700.000000	10.734
6800.000000	11.866
6900.000000	13.492
7000.000000	15.249
7100.000000	16.446
7200.000000	16.694
7300.000000	16.388
7400.000000	16.078
7500.000000	16.673
7620.000000	18.949
7750.000000	20.138
7880.000000	18.885
8000.000000	17.004
8120.000000	14.703
8250.000000	11.733
8380.000000	9.614
8500.000000	8.615
8620.000000	7.127
8750.000000	5.677
8850.000000	5.207
9000.000000	5.510
9120.000000	5.708
9250.000000	5.943
9380.000000	5.859
9500.000000	5.200
9620.000000	4.607
9750.000000	4.551
9880.000000	4.718
10000.000000	4.735
10150.000000	4.478
10300.000000	4.108
10440.000000	4.098
10600.000000	4.597
10750.000000	5.603
10900.000000	5.665
11060.000000	4.655
11200.000000	4.205
11380.000000	5.463
11500.000000	6.370
11720.000000	6.231
11800.000000	5.877
12060.000000	4.885
12200.000000	4.717
12410.000000	4.697
12500.000000	4.758
12650.000000	4.950
12800.000000	5.025
13150.000000	2.221
13200.000000	1.467
13400.000000	-1.300
13600.000000	-2.788
13800.000000	-2.847
14000.000000	-2.772
14300.000000	-2.918
14500.000000	-2.965
14750.000000	-3.305
15000.000000	-3.360
15250.000000	-2.878
15500.000000	-2.628
15750.000000	-2.795
16000.000000	-2.940
16250.000000	-3.533
16500.000000	-3.695
16750.000000	-3.265
17000.000000	-2.744
17250.000000	-2.119
17500.000000	-1.445
17750.000000	-1.261
18000.000000	-0.916
18250.000000	-0.207
18500.000000	0.486
18750.000000	0.948
19000.000000	1.620
19250.000000	2.240
19500.000000	2.637
19750.000000	2.824
20000.000000	2.822
