* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 65536-point spectrum using Hann window and no averaging 
* Dated: Nov 14, 2025, 5:38:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 65536-point spectrum using Hann window and no averaging  Input RMS 66.05 dB 65.7 dB C, 64.7 dB A 66.0 dB 22 - 22k UNW 
* Measurement: OnePlus Buds 4 Ambient
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	7.077
20.299999	7.703
20.600000	9.940
20.900000	11.852
21.200001	12.812
21.400000	13.084
21.799999	12.579
22.000000	11.818
22.400000	8.951
22.700001	5.675
23.000000	3.253
23.299999	1.633
23.600000	1.227
24.000000	3.367
24.299999	4.932
24.700001	6.143
25.000000	6.569
25.400000	6.480
25.799999	5.119
26.200001	3.077
26.500000	2.943
26.900000	3.916
27.200001	5.455
27.600000	7.529
28.000000	7.999
28.500000	6.453
29.000000	3.491
29.500000	1.810
30.000000	4.854
30.400000	7.648
30.700001	8.477
31.100000	8.493
31.500000	7.276
32.000000	3.103
32.500000	-2.375
33.000000	-6.172
33.500000	0.130
34.000000	3.867
34.500000	5.138
35.000000	4.979
35.500000	3.290
36.000000	-0.039
36.500000	-2.266
37.000000	-0.918
37.500000	2.213
38.200001	5.367
38.700001	6.542
39.500000	7.547
40.000000	8.080
40.599998	8.488
41.200001	8.281
41.799999	7.491
42.500000	6.797
43.099998	6.579
43.700001	5.693
44.400002	3.068
45.000000	0.661
45.500000	2.630
46.200001	7.730
46.799999	11.171
47.500000	13.254
48.200001	13.861
48.700001	13.961
49.400002	14.435
50.000000	15.316
50.799999	16.041
51.500000	15.494
52.200001	14.530
53.000000	14.283
53.799999	15.562
54.500000	18.217
55.200001	21.080
56.000000	23.754
57.000000	25.826
58.000000	26.363
59.000000	26.457
60.000000	26.193
60.799999	25.598
61.500000	25.025
62.200001	24.238
63.000000	23.239
64.000000	23.409
65.000000	24.144
66.000000	23.651
67.000000	22.349
68.000000	21.209
69.000000	20.515
70.000000	21.126
71.000000	23.624
72.000000	27.178
73.000000	29.899
74.000000	30.762
75.000000	30.277
76.199997	29.040
77.500000	27.883
78.800003	27.614
80.000000	26.449
81.199997	25.420
82.500000	26.463
83.800003	30.097
85.000000	33.081
86.199997	34.110
87.500000	33.889
88.500000	33.516
90.000000	32.953
91.199997	32.504
92.500000	33.467
93.800003	35.119
95.000000	35.626
96.199997	34.990
97.500000	33.504
98.800003	32.760
100.000000	33.007
101.500000	33.820
103.000000	34.267
104.400002	34.737
106.000000	35.220
107.500000	33.970
109.000000	32.843
110.599998	33.915
112.000000	36.505
113.800003	38.821
115.000000	38.651
117.199997	36.864
118.000000	36.639
120.599998	36.803
122.000000	37.995
124.099998	39.612
125.000000	40.264
126.500000	41.945
128.000000	43.891
131.500000	46.396
132.000000	46.437
134.000000	46.230
136.000000	44.315
138.000000	41.653
140.000000	41.136
143.000000	40.220
145.000000	39.639
147.500000	39.446
150.000000	38.623
152.500000	36.367
155.000000	32.803
157.500000	31.087
160.000000	32.637
162.500000	36.418
165.000000	38.524
167.500000	37.723
170.000000	37.113
172.500000	38.661
175.000000	38.173
177.500000	36.962
180.000000	36.400
182.500000	35.570
185.000000	34.234
187.500000	31.898
190.000000	30.338
192.500000	30.120
195.000000	29.318
197.500000	28.644
200.000000	28.058
203.000000	28.025
206.000000	31.777
209.000000	35.124
212.000000	34.750
214.000000	32.847
218.000000	29.989
220.000000	29.882
224.000000	29.889
227.000000	31.585
230.000000	34.777
233.000000	37.199
236.000000	38.228
240.000000	38.468
243.000000	39.494
247.000000	39.756
250.000000	38.461
254.000000	37.047
258.000000	37.424
262.000000	37.466
265.000000	36.511
269.000000	34.950
272.000000	34.472
