* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 65536-point spectrum using Hann window and no averaging 
* Dated: Nov 14, 2025, 5:20:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 65536-point spectrum using Hann window and no averaging  Input RMS 66.21 dB 66.0 dB C, 64.7 dB A 66.2 dB 22 - 22k UNW 
* Measurement: OnePlus Buds Pro 3 Ambient
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	8.689
20.299999	8.162
20.600000	6.958
20.900000	5.462
21.200001	3.395
21.400000	2.172
21.799999	1.945
22.000000	2.662
22.400000	4.778
22.700001	6.984
23.000000	8.566
23.299999	9.518
23.600000	9.846
24.000000	9.174
24.299999	8.132
24.700001	5.873
25.000000	4.854
25.400000	4.814
25.799999	5.396
26.200001	6.361
26.500000	6.788
26.900000	7.030
27.200001	6.898
27.600000	6.125
28.000000	4.282
28.500000	0.812
29.000000	-2.598
29.500000	-2.554
30.000000	-1.475
30.400000	-0.213
30.700001	0.896
31.100000	1.783
31.500000	1.813
32.000000	2.134
32.500000	3.955
33.000000	7.378
33.500000	9.291
34.000000	9.700
34.500000	9.266
35.000000	8.753
35.500000	9.168
36.000000	9.226
36.500000	8.224
37.000000	5.757
37.500000	2.319
38.200001	2.113
38.700001	3.077
39.500000	2.885
40.000000	2.218
40.599998	2.840
41.200001	5.542
41.799999	8.244
42.500000	10.661
43.099998	12.292
43.700001	13.187
44.400002	12.825
45.000000	11.317
45.500000	9.668
46.200001	8.423
46.799999	9.595
47.500000	12.296
48.200001	14.047
48.700001	14.312
49.400002	14.278
50.000000	14.245
50.799999	15.023
51.500000	18.156
52.200001	22.158
53.000000	24.619
53.799999	24.432
54.500000	22.885
55.200001	23.286
56.000000	26.871
57.000000	29.536
58.000000	29.502
59.000000	29.777
60.000000	30.481
60.799999	29.468
61.500000	27.401
62.200001	25.931
63.000000	27.181
64.000000	30.068
65.000000	31.581
66.000000	31.817
67.000000	31.473
68.000000	30.899
69.000000	29.976
70.000000	29.499
71.000000	29.374
72.000000	28.693
73.000000	28.122
74.000000	28.175
75.000000	28.054
76.199997	27.902
77.500000	29.101
78.800003	30.868
80.000000	31.447
81.199997	31.434
82.500000	30.579
83.800003	30.485
85.000000	31.501
86.199997	32.340
87.500000	33.068
88.500000	33.106
90.000000	32.659
91.199997	32.901
92.500000	33.969
93.800003	34.464
95.000000	33.806
96.199997	32.536
97.500000	30.890
98.800003	29.616
100.000000	28.686
101.500000	29.428
103.000000	32.451
104.400002	34.388
106.000000	35.036
107.500000	33.944
109.000000	32.550
110.599998	34.028
112.000000	35.338
113.800003	35.295
115.000000	35.431
117.199997	34.896
118.000000	35.032
120.599998	38.800
122.000000	38.934
124.099998	37.130
125.000000	37.416
126.500000	40.019
128.000000	42.749
131.500000	45.144
132.000000	45.365
134.000000	46.942
136.000000	47.158
138.000000	44.793
140.000000	41.804
143.000000	39.078
145.000000	36.535
147.500000	34.221
150.000000	35.258
152.500000	35.658
155.000000	32.998
157.500000	31.092
160.000000	31.004
162.500000	32.074
165.000000	32.261
167.500000	32.699
170.000000	35.937
172.500000	37.584
175.000000	36.987
177.500000	36.602
180.000000	36.065
182.500000	35.220
185.000000	33.445
187.500000	31.661
190.000000	29.619
192.500000	27.867
195.000000	27.939
197.500000	28.751
200.000000	28.644
203.000000	27.303
206.000000	27.364
209.000000	27.663
212.000000	25.940
214.000000	25.363
218.000000	28.013
220.000000	29.463
224.000000	31.024
227.000000	32.529
230.000000	34.527
233.000000	36.337
236.000000	37.129
240.000000	37.271
243.000000	37.125
247.000000	35.881
250.000000	35.441
254.000000	35.740
258.000000	36.983
262.000000	38.983
265.000000	39.201
269.000000	36.914
272.000000	34.316
276.000000	31.998
280.000000	30.896
285.000000	29.970
290.000000	26.521
295.000000	22.747
300.000000	24.865
304.000000	28.898
307.000000	31.301
311.000000	33.247
315.000000	34.719
320.000000	37.199
325.000000	38.894
330.000000	38.621
335.000000	37.147
340.000000	35.681
345.000000	35.004
350.000000	33.930
355.000000	33.127
360.000000	33.124
365.000000	34.315
370.000000	34.748
375.000000	33.635
382.000000	34.284
387.000000	34.838
395.000000	33.289
400.000000	31.296
406.000000	29.607
412.000000	31.174
418.000000	33.281
425.000000	34.084
431.000000	33.936
437.000000	33.167
444.000000	31.691
450.000000	29.834
455.000000	28.457
462.000000	29.018
468.000000	31.312
475.000000	32.774
482.000000	33.124
487.000000	32.543
494.000000	30.499
500.000000	28.442
508.000000	26.095
515.000000	24.152
522.000000	22.967
530.000000	23.580
538.000000	25.358
545.000000	26.891
552.000000	27.903
560.000000	29.073
570.000000	30.957
580.000000	32.385
590.000000	32.054
600.000000	29.452
608.000000	29.604
615.000000	30.986
622.000000	31.437
630.000000	31.139
640.000000	31.900
650.000000	33.919
660.000000	34.562
670.000000	33.639
680.000000	31.998
690.000000	31.426
700.000000	32.519
710.000000	32.900
720.000000	31.756
730.000000	30.978
740.000000	31.283
750.000000	31.295
762.000000	31.348
775.000000	31.600
788.000000	31.875
800.000000	31.768
812.000000	31.228
825.000000	31.476
838.000000	31.536
850.000000	31.023
862.000000	30.854
875.000000	31.442
885.000000	31.730
900.000000	32.662
912.000000	33.135
925.000000	32.320
938.000000	31.496
950.000000	30.163
962.000000	27.919
975.000000	27.076
988.000000	27.693
1000.000000	27.856
1015.000000	28.138
1030.000000	28.857
1044.000000	29.108
1060.000000	28.758
1075.000000	29.096
1090.000000	29.548
1106.000000	29.496
1120.000000	29.094
1138.000000	28.640
1150.000000	28.622
1172.000000	29.105
1180.000000	28.992
1206.000000	27.425
1220.000000	27.429
1241.000000	27.197
1250.000000	26.826
1265.000000	26.034
1280.000000	25.040
1315.000000	24.254
1320.000000	24.212
1340.000000	24.190
1360.000000	25.349
1380.000000	26.209
1400.000000	25.973
