* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 65536-point spectrum using Hann window and no averaging 
* Dated: Nov 14, 2025, 5:43:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 65536-point spectrum using Hann window and no averaging  Input RMS 66.30 dB 66.1 dB C, 63.8 dB A 66.3 dB 22 - 22k UNW 
* Measurement: QCY MeloBuds Pro Ambient
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	13.462
20.299999	16.101
20.600000	17.501
20.900000	18.238
21.200001	18.394
21.400000	18.132
21.799999	16.477
22.000000	15.171
22.400000	12.592
22.700001	10.662
23.000000	10.228
23.299999	11.579
23.600000	12.871
24.000000	13.771
24.299999	13.991
24.700001	13.574
25.000000	12.856
25.400000	11.264
25.799999	10.589
26.200001	10.735
26.500000	10.997
26.900000	11.168
27.200001	10.260
27.600000	8.643
28.000000	7.374
28.500000	7.476
29.000000	10.301
29.500000	16.963
30.000000	21.824
30.400000	24.357
30.700001	25.442
31.100000	26.022
31.500000	25.652
32.000000	23.996
32.500000	21.676
33.000000	19.730
33.500000	20.471
34.000000	22.602
34.500000	24.760
35.000000	25.862
35.500000	25.822
36.000000	25.481
36.500000	25.321
37.000000	25.564
37.500000	25.219
38.200001	22.718
38.700001	19.349
39.500000	16.118
40.000000	17.175
40.599998	19.527
41.200001	20.613
41.799999	20.265
42.500000	18.425
43.099998	17.429
43.700001	20.631
44.400002	24.675
45.000000	26.394
45.500000	26.549
46.200001	25.112
46.799999	23.176
47.500000	21.683
48.200001	22.462
48.700001	24.379
49.400002	27.493
50.000000	28.972
50.799999	28.890
51.500000	29.509
52.200001	32.699
53.000000	36.377
53.799999	38.278
54.500000	39.127
55.200001	39.760
56.000000	40.250
57.000000	41.325
58.000000	43.282
59.000000	43.338
60.000000	40.714
60.799999	39.901
61.500000	41.728
62.200001	43.233
63.000000	43.217
64.000000	41.196
65.000000	40.310
66.000000	42.192
67.000000	43.547
68.000000	43.687
69.000000	42.180
70.000000	38.460
71.000000	33.092
72.000000	29.236
73.000000	29.855
74.000000	32.455
75.000000	34.196
76.199997	35.013
77.500000	37.777
78.800003	41.008
80.000000	41.740
81.199997	40.500
82.500000	37.389
83.800003	34.428
85.000000	34.910
86.199997	37.678
87.500000	39.666
88.500000	40.026
90.000000	38.886
91.199997	37.067
92.500000	37.178
93.800003	38.154
95.000000	37.409
96.199997	35.499
97.500000	33.657
98.800003	31.969
100.000000	32.055
101.500000	34.325
103.000000	35.765
104.400002	37.680
106.000000	40.086
107.500000	40.187
109.000000	38.456
110.599998	36.304
112.000000	36.609
113.800003	38.480
115.000000	39.035
117.199997	38.074
118.000000	37.570
120.599998	37.353
122.000000	38.231
124.099998	39.567
125.000000	39.772
126.500000	40.577
128.000000	42.085
131.500000	43.360
132.000000	42.989
134.000000	42.325
136.000000	42.911
138.000000	41.442
140.000000	39.508
143.000000	37.959
145.000000	35.204
147.500000	30.585
150.000000	26.691
152.500000	27.378
155.000000	29.401
157.500000	29.692
160.000000	30.491
162.500000	32.156
165.000000	33.752
167.500000	34.853
170.000000	36.846
172.500000	38.071
175.000000	37.308
177.500000	35.282
180.000000	32.921
182.500000	30.385
185.000000	28.259
187.500000	26.929
190.000000	26.719
192.500000	27.001
195.000000	27.998
197.500000	28.675
200.000000	29.386
203.000000	30.185
206.000000	32.014
209.000000	33.914
212.000000	33.287
214.000000	31.576
218.000000	27.519
220.000000	28.193
224.000000	33.451
227.000000	36.692
230.000000	39.288
233.000000	41.418
236.000000	42.500
240.000000	43.778
243.000000	43.881
247.000000	42.252
250.000000	41.438
254.000000	40.175
258.000000	39.824
262.000000	40.326
265.000000	39.765
269.000000	38.482
272.000000	37.464
276.000000	35.900
280.000000	34.363
285.000000	31.971
290.000000	29.987
295.000000	26.987
300.000000	22.970
304.000000	24.976
307.000000	27.824
311.000000	31.265
315.000000	34.466
320.000000	37.460
325.000000	38.764
330.000000	40.196
335.000000	40.089
340.000000	38.229
345.000000	36.377
350.000000	35.695
355.000000	35.206
360.000000	34.763
365.000000	34.779
370.000000	34.066
375.000000	33.058
382.000000	32.046
387.000000	31.073
395.000000	29.284
400.000000	28.558
406.000000	28.917
412.000000	29.753
418.000000	31.442
425.000000	33.277
431.000000	33.718
437.000000	32.614
444.000000	29.308
450.000000	26.344
455.000000	25.279
462.000000	29.511
468.000000	34.288
475.000000	37.262
482.000000	36.932
487.000000	35.913
494.000000	34.394
500.000000	31.883
508.000000	26.716
515.000000	22.614
522.000000	21.505
530.000000	22.459
538.000000	23.164
545.000000	25.613
552.000000	28.510
560.000000	30.674
570.000000	31.737
580.000000	32.497
590.000000	32.148
600.000000	29.328
608.000000	28.757
615.000000	30.298
622.000000	31.521
630.000000	31.826
640.000000	31.551
650.000000	32.961
660.000000	34.714
670.000000	35.403
680.000000	34.543
690.000000	33.199
700.000000	33.094
710.000000	32.696
720.000000	31.080
730.000000	31.491
740.000000	32.799
750.000000	32.582
762.000000	31.296
775.000000	31.793
788.000000	32.807
800.000000	32.936
812.000000	33.166
825.000000	34.128
838.000000	33.965
850.000000	32.801
862.000000	32.442
875.000000	33.411
885.000000	33.687
900.000000	34.009
912.000000	34.200
925.000000	34.799
938.000000	35.183
950.000000	33.748
962.000000	31.378
975.000000	30.745
988.000000	31.816
1000.000000	32.454
1015.000000	32.713
1030.000000	32.906
1044.000000	32.474
1060.000000	31.826
1075.000000	31.166
1090.000000	30.533
1106.000000	30.737
1120.000000	31.034
1138.000000	31.750
1150.000000	31.910
1172.000000	31.215
1180.000000	30.783
1206.000000	29.738
1220.000000	29.683
1241.000000	29.330
1250.000000	29.181
1265.000000	28.584
1280.000000	27.003
1315.000000	26.656
1320.000000	26.943
1340.000000	27.827
1360.000000	27.582
1380.000000	27.048
1400.000000	27.045
1430.000000	25.771
1450.000000	25.552
1475.000000	25.447
1500.000000	25.964
1525.000000	26.716
1550.000000	27.960
1575.000000	29.640
1600.000000	30.336
1625.000000	30.446
1650.000000	30.495
1675.000000	29.704
1700.000000	28.202
1725.000000	26.574
1750.000000	25.224
1775.000000	24.251
1800.000000	24.122
1825.000000	24.506
1850.000000	24.673
1875.000000	24.356
1900.000000	24.673
1925.000000	25.365
1950.000000	24.688
1975.000000	23.113
2000.000000	22.921
2030.000000	23.627
2060.000000	23.345
2090.000000	24.097
2120.000000	25.802
2140.000000	26.876
2180.000000	28.682
2200.000000	29.287
2240.000000	29.370
2270.000000	28.397
2300.000000	26.724
2330.000000	24.588
2360.000000	22.974
2400.000000	23.412
2430.000000	24.749
2470.000000	25.433
2500.000000	24.569
2540.000000	22.714
2580.000000	22.045
2620.000000	21.623
2650.000000	21.730
2690.000000	23.286
2720.000000	24.435
2760.000000	24.956
2800.000000	24.658
2850.000000	24.349
2900.000000	23.680
2950.000000	23.742
3000.000000	23.515
3040.000000	23.219
3070.000000	23.036
3110.000000	22.793
3150.000000	22.722
3200.000000	22.466
3250.000000	21.543
3300.000000	19.975
3350.000000	18.223
3400.000000	16.388
3450.000000	14.242
3500.000000	11.716
3550.000000	9.499
3600.000000	7.308
3650.000000	7.679
3700.000000	9.897
3750.000000	11.023
3820.000000	10.074
3870.000000	8.699
3950.000000	7.588
4000.000000	8.347
4060.000000	9.172
4120.000000	9.188
4180.000000	8.173
4250.000000	6.895
4310.000000	6.186
4370.000000	5.669
4440.000000	4.837
4500.000000	3.886
4550.000000	3.902
4620.000000	5.538
4680.000000	7.267
4750.000000	9.189
4820.000000	11.162
4870.000000	12.173
4940.000000	12.779
5000.000000	13.108
5080.000000	13.075
5150.000000	12.365
5220.000000	11.194
5300.000000	9.745
5380.000000	8.381
5450.000000	7.975
5520.000000	8.445
5600.000000	9.239
5700.000000	8.854
5800.000000	7.648
5900.000000	7.459
6000.000000	8.514
6080.000000	8.946
6150.000000	8.858
6220.000000	9.056
6300.000000	9.640
6400.000000	9.904
6500.000000	10.076
6600.000000	9.959
6700.000000	8.442
6800.000000	5.577
6900.000000	3.887
7000.000000	4.616
7100.000000	4.804
7200.000000	3.901
7300.000000	3.192
7400.000000	2.565
7500.000000	3.526
7620.000000	5.920
7750.000000	6.654
7880.000000	4.976
