* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 65536-point spectrum using Hann window and no averaging 
* Dated: Nov 14, 2025, 4:51:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 65536-point spectrum using Hann window and no averaging  Input RMS 66.24 dB 66.2 dB C, 63.8 dB A 66.2 dB 22 - 22k UNW 
* Measurement: QCY N70 Ambient
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	16.110
20.299999	17.229
20.600000	17.523
20.900000	17.418
21.200001	16.924
21.400000	16.498
21.799999	15.980
22.000000	15.811
22.400000	15.500
22.700001	15.292
23.000000	14.881
23.299999	14.227
23.600000	13.576
24.000000	12.621
24.299999	12.532
24.700001	13.698
25.000000	14.797
25.400000	16.495
25.799999	17.352
26.200001	17.250
26.500000	16.378
26.900000	14.281
27.200001	11.580
27.600000	8.499
28.000000	9.458
28.500000	11.702
29.000000	13.332
29.500000	12.898
30.000000	10.736
30.400000	8.738
30.700001	7.445
31.100000	6.838
31.500000	7.715
32.000000	8.976
32.500000	11.297
33.000000	14.744
33.500000	17.327
34.000000	18.599
34.500000	18.510
35.000000	17.126
35.500000	14.405
36.000000	12.591
36.500000	12.494
37.000000	14.231
37.500000	15.119
38.200001	15.401
38.700001	15.555
39.500000	16.427
40.000000	17.107
40.599998	17.580
41.200001	17.438
41.799999	16.862
42.500000	16.292
43.099998	15.873
43.700001	15.316
44.400002	16.272
45.000000	18.082
45.500000	18.905
46.200001	18.479
46.799999	16.833
47.500000	14.604
48.200001	13.240
48.700001	13.187
49.400002	14.497
50.000000	16.223
50.799999	19.199
51.500000	23.720
52.200001	27.827
53.000000	30.042
53.799999	29.786
54.500000	28.765
55.200001	29.410
56.000000	31.155
57.000000	31.562
58.000000	30.773
59.000000	29.600
60.000000	27.607
60.799999	27.029
61.500000	27.530
62.200001	27.733
63.000000	27.176
64.000000	25.691
65.000000	23.747
66.000000	23.738
67.000000	24.280
68.000000	22.974
69.000000	22.287
70.000000	24.701
71.000000	26.958
72.000000	27.139
73.000000	26.032
74.000000	26.590
75.000000	28.088
76.199997	28.116
77.500000	29.629
78.800003	34.076
80.000000	35.315
81.199997	33.478
82.500000	31.322
83.800003	32.236
85.000000	33.635
86.199997	34.548
87.500000	34.999
88.500000	34.521
90.000000	32.057
