* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 65536-point spectrum using Hann window and no averaging 
* Dated: Nov 14, 2025, 5:32:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 65536-point spectrum using Hann window and no averaging  Input RMS 47.72 dB 46.3 dB C, 46.4 dB A 47.7 dB 22 - 22k UNW 
* Measurement: Samsung Buds FE ANC
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	13.260
20.299999	13.277
20.600000	14.005
20.900000	14.799
21.200001	15.661
21.400000	16.080
21.799999	15.774
22.000000	15.119
22.400000	12.149
22.700001	8.531
23.000000	5.050
23.299999	1.393
23.600000	-0.344
24.000000	2.271
24.299999	4.028
24.700001	4.409
25.000000	4.685
25.400000	5.337
25.799999	5.484
26.200001	5.114
26.500000	4.374
26.900000	3.417
27.200001	3.707
27.600000	4.890
28.000000	6.971
28.500000	8.653
29.000000	8.345
29.500000	5.067
30.000000	8.624
30.400000	13.017
30.700001	15.648
31.100000	17.979
31.500000	18.785
32.000000	18.447
32.500000	17.367
33.000000	16.269
33.500000	15.938
34.000000	15.060
34.500000	13.221
35.000000	10.523
35.500000	8.746
36.000000	8.281
36.500000	8.277
37.000000	7.797
37.500000	6.911
38.200001	5.232
38.700001	3.991
39.500000	1.998
40.000000	2.053
40.599998	4.121
41.200001	7.031
41.799999	8.395
42.500000	7.866
43.099998	6.083
43.700001	6.425
44.400002	10.825
45.000000	13.284
45.500000	13.856
46.200001	12.355
46.799999	8.835
47.500000	5.655
48.200001	7.001
48.700001	8.849
49.400002	10.296
50.000000	10.769
50.799999	11.493
51.500000	13.501
52.200001	15.902
53.000000	17.466
53.799999	17.734
54.500000	17.693
55.200001	17.858
56.000000	17.909
57.000000	17.800
58.000000	17.946
59.000000	16.820
60.000000	14.003
60.799999	12.125
61.500000	11.784
62.200001	12.323
63.000000	12.588
64.000000	11.298
65.000000	11.705
66.000000	14.734
67.000000	16.639
68.000000	16.748
69.000000	15.583
70.000000	14.539
71.000000	13.846
72.000000	13.597
73.000000	15.022
74.000000	16.289
75.000000	16.802
76.199997	18.045
77.500000	19.860
78.800003	20.545
80.000000	19.504
81.199997	16.657
82.500000	14.484
83.800003	15.179
85.000000	14.253
86.199997	11.939
87.500000	11.154
88.500000	10.773
