* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 65536-point spectrum using Hann window and no averaging 
* Dated: Nov 14, 2025, 4:48:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 65536-point spectrum using Hann window and no averaging  Input RMS 51.00 dB 50.0 dB C, 49.5 dB A 50.9 dB 22 - 22k UNW 
* Measurement: SoundPEATS Air5 Pro ANC
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	17.299
20.299999	18.637
20.600000	20.979
20.900000	22.991
21.200001	24.237
21.400000	24.741
21.799999	24.822
22.000000	24.407
22.400000	22.514
22.700001	20.168
23.000000	16.513
23.299999	11.003
23.600000	7.541
24.000000	7.546
24.299999	7.560
24.700001	7.645
25.000000	7.930
25.400000	8.700
25.799999	9.385
26.200001	9.789
26.500000	9.442
26.900000	8.219
27.200001	6.499
27.600000	3.911
28.000000	1.910
28.500000	1.097
29.000000	1.870
29.500000	2.367
30.000000	3.709
30.400000	4.948
30.700001	5.807
31.100000	6.464
31.500000	6.469
32.000000	5.351
32.500000	3.461
33.000000	1.514
33.500000	1.225
34.000000	-0.119
34.500000	1.258
35.000000	7.556
35.500000	12.543
36.000000	15.535
36.500000	16.661
37.000000	16.284
37.500000	14.508
38.200001	10.661
38.700001	8.542
39.500000	5.670
40.000000	2.489
40.599998	-1.415
41.200001	-1.818
41.799999	2.702
42.500000	8.072
43.099998	10.714
43.700001	11.500
44.400002	10.415
45.000000	8.258
45.500000	6.313
46.200001	3.893
46.799999	2.412
47.500000	2.498
48.200001	4.452
48.700001	6.070
49.400002	8.383
50.000000	10.838
50.799999	14.277
51.500000	16.427
52.200001	17.870
53.000000	19.003
53.799999	19.594
54.500000	19.879
55.200001	20.601
56.000000	22.112
57.000000	22.905
58.000000	20.388
59.000000	14.109
60.000000	11.974
60.799999	14.931
61.500000	16.928
62.200001	17.976
63.000000	18.291
64.000000	18.471
65.000000	18.966
66.000000	18.691
67.000000	16.769
68.000000	14.136
69.000000	12.786
70.000000	12.044
71.000000	11.234
72.000000	11.026
73.000000	11.455
74.000000	12.040
75.000000	11.607
76.199997	9.197
77.500000	7.737
78.800003	8.443
80.000000	8.665
81.199997	7.754
82.500000	6.787
83.800003	7.200
85.000000	9.166
86.199997	11.334
87.500000	12.728
88.500000	12.947
90.000000	12.323
91.199997	10.311
92.500000	6.122
93.800003	2.908
95.000000	2.893
96.199997	2.015
97.500000	-0.207
98.800003	0.031
100.000000	2.616
101.500000	4.685
103.000000	4.996
104.400002	4.191
106.000000	2.710
107.500000	3.937
109.000000	6.295
110.599998	7.515
112.000000	7.964
113.800003	8.465
115.000000	8.581
117.199997	8.907
118.000000	9.269
120.599998	8.861
122.000000	7.301
124.099998	4.959
125.000000	5.589
126.500000	8.707
128.000000	12.204
131.500000	17.114
132.000000	17.227
134.000000	15.894
136.000000	12.752
138.000000	10.026
140.000000	6.482
143.000000	0.354
145.000000	-1.626
147.500000	-2.554
150.000000	-0.937
152.500000	2.054
155.000000	4.455
157.500000	6.051
160.000000	6.151
162.500000	5.264
165.000000	5.462
167.500000	7.560
170.000000	8.398
172.500000	9.232
175.000000	9.596
177.500000	8.566
180.000000	6.996
182.500000	5.270
185.000000	4.386
187.500000	2.942
190.000000	0.429
192.500000	-0.880
195.000000	-0.728
197.500000	0.018
200.000000	1.013
203.000000	3.082
206.000000	4.780
209.000000	5.092
212.000000	5.008
214.000000	5.009
218.000000	7.654
220.000000	10.596
224.000000	15.961
227.000000	19.125
230.000000	21.222
233.000000	22.428
236.000000	23.206
240.000000	23.802
243.000000	24.706
247.000000	25.898
250.000000	25.905
254.000000	26.648
258.000000	26.587
262.000000	23.965
265.000000	22.585
269.000000	22.019
272.000000	20.509
276.000000	18.201
280.000000	17.836
285.000000	18.835
290.000000	16.911
295.000000	13.328
300.000000	8.928
304.000000	8.697
307.000000	10.269
311.000000	13.333
315.000000	16.414
320.000000	20.068
325.000000	22.415
330.000000	22.145
335.000000	19.438
340.000000	16.061
345.000000	14.853
350.000000	16.756
355.000000	19.743
360.000000	21.910
365.000000	22.279
370.000000	21.192
375.000000	20.834
382.000000	23.117
387.000000	24.262
395.000000	23.055
400.000000	20.706
406.000000	19.037
412.000000	19.013
418.000000	17.968
425.000000	15.752
431.000000	13.733
437.000000	13.467
444.000000	13.357
450.000000	13.367
455.000000	13.548
462.000000	12.655
468.000000	11.326
475.000000	10.701
482.000000	12.063
487.000000	13.580
494.000000	15.347
500.000000	15.925
508.000000	16.491
515.000000	15.908
522.000000	13.794
530.000000	12.391
538.000000	13.487
545.000000	16.149
552.000000	18.669
560.000000	20.172
570.000000	20.418
580.000000	20.279
590.000000	19.758
600.000000	17.557
608.000000	16.191
615.000000	16.901
622.000000	17.568
630.000000	16.921
640.000000	15.781
650.000000	16.714
660.000000	19.420
670.000000	19.909
680.000000	17.744
690.000000	16.468
700.000000	17.136
710.000000	16.227
720.000000	14.803
730.000000	14.952
740.000000	14.949
750.000000	14.719
762.000000	14.976
775.000000	15.404
788.000000	15.503
800.000000	14.961
812.000000	14.928
825.000000	15.557
838.000000	14.830
850.000000	13.765
862.000000	13.201
875.000000	13.881
885.000000	14.309
900.000000	14.697
912.000000	15.334
925.000000	15.270
938.000000	13.714
950.000000	11.238
962.000000	9.683
975.000000	10.337
988.000000	10.719
1000.000000	10.497
1015.000000	10.482
1030.000000	10.436
1044.000000	11.070
1060.000000	12.068
1075.000000	12.281
1090.000000	12.330
1106.000000	12.734
1120.000000	12.047
1138.000000	10.778
1150.000000	11.079
1172.000000	11.188
1180.000000	10.582
1206.000000	10.502
1220.000000	10.668
1241.000000	10.442
1250.000000	10.674
1265.000000	11.494
1280.000000	12.717
1315.000000	14.786
1320.000000	14.699
1340.000000	14.921
1360.000000	15.240
1380.000000	15.611
1400.000000	15.954
1430.000000	15.000
1450.000000	13.941
1475.000000	12.307
1500.000000	11.984
1525.000000	12.579
1550.000000	12.577
1575.000000	12.982
1600.000000	12.331
1625.000000	10.997
1650.000000	9.278
1675.000000	8.056
1700.000000	6.593
1725.000000	4.814
1750.000000	4.009
1775.000000	2.865
1800.000000	1.386
1825.000000	1.144
1850.000000	1.533
1875.000000	1.187
1900.000000	0.529
1925.000000	0.345
1950.000000	0.879
1975.000000	2.776
2000.000000	4.799
2030.000000	5.252
2060.000000	5.017
2090.000000	5.454
2120.000000	5.276
2140.000000	5.047
2180.000000	5.135
2200.000000	5.414
2240.000000	6.064
2270.000000	6.669
2300.000000	6.990
2330.000000	6.845
2360.000000	6.958
2400.000000	6.611
2430.000000	5.247
2470.000000	3.303
2500.000000	3.053
2540.000000	2.939
2580.000000	3.103
2620.000000	3.847
2650.000000	3.842
2690.000000	4.873
2720.000000	5.850
2760.000000	5.936
2800.000000	6.092
2850.000000	6.411
2900.000000	7.462
2950.000000	8.267
3000.000000	7.897
3040.000000	6.813
3070.000000	5.977
3110.000000	5.432
3150.000000	4.766
3200.000000	4.284
3250.000000	3.658
3300.000000	3.137
3350.000000	4.015
3400.000000	5.189
3450.000000	6.351
3500.000000	6.273
3550.000000	6.063
3600.000000	6.145
3650.000000	5.930
3700.000000	6.099
3750.000000	7.079
3820.000000	6.444
3870.000000	5.981
3950.000000	7.059
4000.000000	8.730
4060.000000	8.924
4120.000000	8.177
4180.000000	8.117
4250.000000	7.379
4310.000000	6.614
4370.000000	6.729
4440.000000	7.256
4500.000000	7.969
4550.000000	7.955
4620.000000	7.051
4680.000000	6.118
4750.000000	6.158
4820.000000	7.196
4870.000000	7.993
4940.000000	8.522
5000.000000	8.619
5080.000000	7.814
5150.000000	6.862
5220.000000	7.497
5300.000000	9.193
5380.000000	9.717
5450.000000	9.770
5520.000000	10.123
5600.000000	9.617
5700.000000	9.165
5800.000000	11.515
5900.000000	13.636
6000.000000	14.187
6080.000000	14.134
6150.000000	13.591
6220.000000	12.626
6300.000000	11.730
6400.000000	11.405
6500.000000	11.573
6600.000000	11.339
6700.000000	11.745
6800.000000	11.833
6900.000000	11.519
7000.000000	11.155
7100.000000	10.038
7200.000000	9.107
7300.000000	9.090
7400.000000	9.359
7500.000000	9.365
7620.000000	9.364
7750.000000	8.529
7880.000000	6.892
8000.000000	4.896
8120.000000	3.208
8250.000000	1.417
8380.000000	-0.529
8500.000000	-2.173
8620.000000	-2.749
8750.000000	-3.138
8850.000000	-3.739
9000.000000	-3.655
9120.000000	-3.420
9250.000000	-3.463
9380.000000	-3.604
9500.000000	-3.850
9620.000000	-3.685
9750.000000	-3.489
9880.000000	-3.661
10000.000000	-3.547
10150.000000	-3.477
10300.000000	-3.680
10440.000000	-3.670
10600.000000	-3.729
10750.000000	-3.710
10900.000000	-3.669
11060.000000	-3.206
11200.000000	-3.342
11380.000000	-3.761
11500.000000	-3.840
11720.000000	-3.546
11800.000000	-3.595
12060.000000	-3.709
12200.000000	-3.486
12410.000000	-3.126
12500.000000	-3.098
12650.000000	-3.070
12800.000000	-3.106
13150.000000	-2.732
13200.000000	-2.733
13400.000000	-3.057
13600.000000	-3.747
13800.000000	-3.980
14000.000000	-4.027
14300.000000	-3.665
14500.000000	-3.712
14750.000000	-3.613
15000.000000	-3.586
15250.000000	-3.653
15500.000000	-3.607
15750.000000	-3.866
16000.000000	-4.178
16250.000000	-4.164
16500.000000	-3.884
16750.000000	-3.524
17000.000000	-3.146
17250.000000	-2.685
17500.000000	-2.162
17750.000000	-1.562
18000.000000	-1.058
18250.000000	-0.528
18500.000000	0.061
18750.000000	0.847
19000.000000	1.646
19250.000000	2.303
19500.000000	2.800
19750.000000	2.928
20000.000000	2.812
