* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 65536-point spectrum using Hann window and no averaging 
* Dated: Nov 14, 2025, 4:48:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 65536-point spectrum using Hann window and no averaging  Input RMS 68.77 dB 68.7 dB C, 67.9 dB A 68.8 dB 22 - 22k UNW 
* Measurement: SoundPEATS Air5 Pro Ambient
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	21.079
20.299999	21.530
20.600000	21.335
20.900000	20.672
21.200001	19.524
21.400000	18.570
21.799999	16.499
22.000000	15.359
22.400000	13.096
22.700001	11.407
23.000000	10.034
23.299999	8.838
23.600000	8.759
24.000000	11.306
24.299999	13.270
24.700001	15.253
25.000000	16.263
25.400000	16.896
25.799999	16.830
26.200001	16.087
26.500000	14.993
26.900000	13.314
27.200001	12.571
27.600000	12.192
28.000000	13.067
28.500000	13.597
29.000000	12.735
29.500000	10.338
30.000000	8.563
30.400000	7.848
30.700001	7.699
31.100000	9.399
31.500000	13.562
32.000000	18.020
32.500000	21.014
33.000000	22.048
33.500000	21.405
34.000000	18.754
34.500000	14.502
35.000000	10.063
35.500000	11.513
36.000000	12.567
36.500000	12.288
37.000000	10.809
37.500000	9.957
38.200001	10.760
38.700001	10.791
39.500000	14.001
40.000000	18.108
40.599998	22.270
41.200001	23.888
41.799999	23.363
42.500000	19.987
43.099998	14.607
43.700001	9.115
44.400002	9.925
45.000000	10.446
45.500000	10.573
46.200001	11.024
46.799999	11.506
47.500000	11.213
48.200001	9.574
48.700001	8.554
49.400002	8.216
50.000000	8.678
50.799999	11.978
51.500000	17.440
52.200001	22.032
53.000000	26.094
53.799999	28.715
54.500000	29.386
55.200001	28.485
56.000000	26.348
57.000000	26.288
58.000000	29.811
59.000000	32.075
60.000000	32.242
60.799999	31.232
61.500000	29.344
62.200001	26.137
63.000000	20.729
64.000000	14.966
65.000000	15.129
66.000000	17.687
67.000000	19.960
68.000000	21.531
69.000000	22.585
70.000000	23.631
71.000000	24.341
72.000000	23.713
73.000000	21.753
74.000000	19.558
75.000000	18.477
76.199997	19.421
77.500000	20.769
78.800003	20.162
80.000000	18.393
81.199997	17.168
82.500000	18.367
83.800003	21.529
85.000000	23.816
86.199997	24.095
87.500000	22.639
88.500000	21.740
90.000000	22.110
91.199997	22.748
92.500000	22.632
93.800003	22.721
95.000000	22.804
96.199997	22.192
97.500000	21.403
98.800003	21.831
100.000000	22.677
101.500000	23.367
103.000000	23.913
104.400002	24.791
106.000000	26.464
107.500000	27.554
109.000000	28.368
110.599998	28.213
112.000000	26.986
113.800003	24.099
115.000000	21.759
117.199997	21.169
118.000000	21.339
120.599998	19.396
122.000000	19.610
124.099998	22.923
125.000000	24.679
126.500000	27.296
128.000000	28.545
131.500000	30.369
132.000000	30.737
134.000000	30.647
136.000000	28.974
138.000000	28.589
140.000000	28.764
143.000000	29.044
145.000000	30.301
147.500000	29.901
150.000000	27.253
152.500000	25.770
155.000000	24.654
157.500000	23.122
160.000000	22.298
162.500000	22.948
165.000000	25.124
167.500000	28.145
170.000000	29.565
172.500000	30.049
175.000000	31.426
177.500000	31.403
180.000000	28.757
182.500000	25.618
185.000000	23.641
187.500000	22.219
190.000000	21.754
192.500000	22.422
195.000000	23.508
197.500000	24.303
200.000000	24.196
203.000000	24.680
206.000000	27.334
209.000000	29.536
212.000000	29.254
214.000000	28.236
218.000000	26.317
220.000000	25.241
224.000000	26.372
227.000000	30.141
230.000000	34.015
233.000000	36.845
236.000000	38.023
240.000000	37.318
243.000000	36.589
247.000000	36.708
250.000000	38.230
254.000000	39.816
258.000000	40.448
262.000000	41.231
265.000000	40.853
269.000000	39.305
272.000000	37.220
276.000000	34.086
280.000000	31.993
285.000000	28.646
290.000000	25.742
295.000000	22.748
300.000000	22.680
304.000000	27.424
307.000000	31.227
311.000000	35.670
315.000000	38.723
320.000000	41.469
325.000000	42.638
330.000000	42.068
335.000000	40.068
340.000000	37.830
345.000000	37.208
350.000000	38.572
355.000000	39.640
360.000000	39.242
365.000000	38.360
370.000000	36.686
375.000000	34.904
382.000000	34.540
387.000000	35.360
395.000000	33.354
400.000000	30.189
406.000000	27.708
412.000000	29.380
418.000000	31.974
425.000000	33.574
431.000000	33.804
437.000000	32.739
444.000000	29.956
450.000000	28.226
455.000000	30.387
462.000000	35.090
468.000000	37.746
475.000000	38.462
482.000000	37.058
487.000000	35.790
494.000000	33.970
500.000000	31.949
508.000000	30.314
515.000000	31.776
522.000000	32.847
530.000000	33.034
538.000000	34.583
545.000000	36.880
552.000000	39.145
560.000000	40.335
570.000000	40.435
580.000000	40.332
590.000000	39.208
600.000000	37.180
608.000000	38.447
615.000000	39.948
622.000000	40.489
630.000000	39.988
640.000000	38.962
650.000000	40.898
660.000000	43.335
670.000000	42.708
680.000000	40.048
690.000000	39.574
700.000000	40.704
710.000000	39.893
720.000000	38.830
730.000000	40.202
740.000000	40.535
750.000000	39.010
762.000000	38.050
775.000000	38.805
788.000000	38.689
800.000000	38.355
812.000000	37.025
825.000000	35.927
838.000000	35.376
850.000000	35.534
862.000000	36.294
875.000000	36.581
885.000000	36.865
900.000000	37.484
912.000000	37.549
925.000000	36.798
938.000000	35.471
950.000000	34.057
962.000000	32.539
975.000000	32.510
988.000000	33.108
1000.000000	32.379
1015.000000	31.484
1030.000000	31.936
1044.000000	33.205
1060.000000	35.094
1075.000000	34.998
1090.000000	34.034
1106.000000	33.582
1120.000000	33.178
1138.000000	33.072
1150.000000	33.190
1172.000000	32.884
1180.000000	32.118
1206.000000	30.751
1220.000000	31.182
1241.000000	31.281
1250.000000	31.505
1265.000000	32.332
1280.000000	33.624
1315.000000	34.947
1320.000000	34.810
1340.000000	34.750
1360.000000	35.515
1380.000000	36.871
1400.000000	37.898
1430.000000	36.983
1450.000000	35.859
1475.000000	34.588
1500.000000	33.771
1525.000000	34.366
1550.000000	34.422
1575.000000	35.093
1600.000000	35.844
1625.000000	34.469
1650.000000	32.367
1675.000000	29.841
1700.000000	27.137
1725.000000	26.544
1750.000000	26.781
1775.000000	26.228
1800.000000	25.496
1825.000000	24.573
1850.000000	23.406
1875.000000	22.157
1900.000000	22.295
1925.000000	22.892
1950.000000	23.403
1975.000000	24.685
2000.000000	25.888
2030.000000	26.753
2060.000000	27.106
2090.000000	27.445
2120.000000	28.278
2140.000000	29.151
2180.000000	30.180
2200.000000	29.939
2240.000000	30.049
2270.000000	30.828
2300.000000	31.243
2330.000000	31.294
2360.000000	31.236
2400.000000	31.195
2430.000000	30.196
2470.000000	28.300
2500.000000	27.934
2540.000000	27.490
2580.000000	26.883
2620.000000	26.874
2650.000000	26.741
2690.000000	27.563
2720.000000	28.076
2760.000000	27.008
2800.000000	25.505
2850.000000	24.474
2900.000000	24.123
2950.000000	24.725
3000.000000	24.460
3040.000000	24.205
3070.000000	24.039
3110.000000	23.792
3150.000000	22.377
3200.000000	20.072
3250.000000	19.002
3300.000000	17.719
3350.000000	17.778
3400.000000	18.553
3450.000000	19.332
3500.000000	18.998
3550.000000	18.515
3600.000000	17.815
3650.000000	15.531
3700.000000	12.709
3750.000000	12.162
3820.000000	11.240
3870.000000	10.920
3950.000000	11.480
4000.000000	12.168
4060.000000	12.656
4120.000000	12.791
4180.000000	12.519
4250.000000	11.430
4310.000000	9.910
4370.000000	8.770
4440.000000	8.413
4500.000000	7.888
4550.000000	6.995
4620.000000	5.235
4680.000000	4.295
4750.000000	4.100
4820.000000	4.654
4870.000000	5.169
4940.000000	5.024
5000.000000	4.589
5080.000000	4.221
5150.000000	4.167
5220.000000	5.027
5300.000000	6.756
5380.000000	8.262
5450.000000	9.334
5520.000000	9.738
5600.000000	9.651
5700.000000	10.659
5800.000000	12.730
5900.000000	14.497
6000.000000	15.531
6080.000000	15.915
6150.000000	15.595
6220.000000	14.953
6300.000000	14.442
6400.000000	14.844
6500.000000	15.355
6600.000000	15.828
6700.000000	16.459
6800.000000	16.220
6900.000000	15.255
7000.000000	14.598
7100.000000	14.448
7200.000000	14.520
7300.000000	14.370
7400.000000	14.212
7500.000000	14.254
7620.000000	13.628
7750.000000	11.981
7880.000000	10.101
8000.000000	7.803
8120.000000	6.920
8250.000000	5.580
8380.000000	3.650
8500.000000	2.752
8620.000000	1.585
8750.000000	0.266
8850.000000	-0.495
9000.000000	-0.457
9120.000000	0.061
9250.000000	0.538
9380.000000	0.630
9500.000000	0.612
9620.000000	0.841
9750.000000	0.829
9880.000000	0.477
10000.000000	0.323
10150.000000	0.281
10300.000000	0.418
10440.000000	1.108
10600.000000	1.770
10750.000000	2.069
10900.000000	2.660
11060.000000	3.455
11200.000000	3.833
11380.000000	3.900
11500.000000	3.411
11720.000000	1.530
11800.000000	1.272
12060.000000	2.938
12200.000000	3.960
12410.000000	5.236
12500.000000	5.329
12650.000000	4.721
12800.000000	4.066
13150.000000	6.417
13200.000000	6.839
13400.000000	7.898
13600.000000	6.577
13800.000000	3.567
14000.000000	2.528
14300.000000	3.225
14500.000000	1.839
14750.000000	-0.540
15000.000000	-2.148
15250.000000	-2.120
15500.000000	-1.854
15750.000000	-1.854
16000.000000	-2.611
16250.000000	-3.620
16500.000000	-3.784
16750.000000	-3.266
17000.000000	-2.935
17250.000000	-2.597
17500.000000	-2.241
17750.000000	-1.627
18000.000000	-1.126
18250.000000	-0.625
18500.000000	0.062
18750.000000	0.832
19000.000000	1.518
19250.000000	2.132
19500.000000	2.640
19750.000000	2.919
20000.000000	2.848
