* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 65536-point spectrum using Hann window and no averaging 
* Dated: Nov 14, 2025, 4:42:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 65536-point spectrum using Hann window and no averaging  Input RMS 47.73 dB 46.5 dB C, 46.4 dB A 47.7 dB 22 - 22k UNW 
* Measurement: SoundPEATS H3 ANC
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	15.205
20.299999	14.548
20.600000	12.852
20.900000	11.661
21.200001	11.585
21.400000	11.525
21.799999	11.488
22.000000	11.461
22.400000	10.318
22.700001	7.812
23.000000	5.889
23.299999	4.421
23.600000	4.322
24.000000	7.520
24.299999	9.588
24.700001	10.719
25.000000	10.986
25.400000	10.627
25.799999	9.482
26.200001	7.509
26.500000	5.134
26.900000	1.572
27.200001	-0.687
27.600000	-2.071
28.000000	1.330
28.500000	5.290
29.000000	7.451
29.500000	9.448
30.000000	11.485
30.400000	12.676
30.700001	13.117
31.100000	12.903
31.500000	11.715
32.000000	8.925
32.500000	6.541
33.000000	5.704
33.500000	5.825
34.000000	4.972
34.500000	3.384
35.000000	1.649
35.500000	0.793
36.000000	1.850
36.500000	3.767
37.000000	5.187
37.500000	5.230
38.200001	3.062
38.700001	1.965
39.500000	4.175
40.000000	6.037
40.599998	6.865
41.200001	6.589
41.799999	6.444
42.500000	7.246
43.099998	7.908
43.700001	8.632
44.400002	10.165
45.000000	11.374
45.500000	11.707
46.200001	10.668
46.799999	8.350
47.500000	8.200
48.200001	11.873
48.700001	14.292
49.400002	15.766
50.000000	15.694
50.799999	14.707
51.500000	15.312
52.200001	18.461
53.000000	22.289
53.799999	24.100
54.500000	24.024
55.200001	23.180
56.000000	23.339
57.000000	24.573
58.000000	23.480
59.000000	20.309
60.000000	18.646
60.799999	18.953
61.500000	19.155
62.200001	18.736
63.000000	17.394
64.000000	14.884
65.000000	12.063
66.000000	12.650
67.000000	16.485
68.000000	18.034
69.000000	16.556
70.000000	13.171
71.000000	11.809
72.000000	12.207
73.000000	11.346
74.000000	9.025
75.000000	7.206
76.199997	8.833
77.500000	12.696
78.800003	17.278
80.000000	19.698
81.199997	19.534
82.500000	17.317
83.800003	14.357
85.000000	11.688
86.199997	11.219
87.500000	13.150
88.500000	13.930
90.000000	13.802
91.199997	14.052
92.500000	14.935
93.800003	15.334
95.000000	13.880
96.199997	10.483
97.500000	5.404
98.800003	2.176
100.000000	2.509
101.500000	3.277
103.000000	4.055
