* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 65536-point spectrum using Hann window and no averaging 
* Dated: Nov 14, 2025, 4:43:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 65536-point spectrum using Hann window and no averaging  Input RMS 61.84 dB 61.7 dB C, 59.1 dB A 61.8 dB 22 - 22k UNW 
* Measurement: SoundPEATS H3 Ambient
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	16.906
20.299999	18.703
20.600000	19.244
20.900000	18.943
21.200001	17.574
21.400000	16.410
21.799999	14.467
22.000000	13.633
22.400000	13.784
22.700001	15.370
23.000000	16.163
23.299999	16.112
23.600000	15.481
24.000000	13.412
24.299999	12.239
24.700001	11.697
25.000000	12.195
25.400000	14.335
25.799999	15.834
26.200001	16.533
26.500000	16.436
26.900000	15.542
27.200001	14.191
27.600000	11.975
28.000000	9.637
28.500000	9.017
29.000000	10.780
29.500000	12.177
30.000000	12.393
30.400000	12.108
30.700001	11.744
31.100000	11.737
31.500000	12.427
32.000000	13.193
32.500000	13.362
33.000000	12.751
33.500000	12.033
34.000000	12.170
34.500000	13.064
35.000000	14.522
35.500000	16.524
36.000000	18.382
36.500000	19.614
37.000000	19.830
37.500000	18.863
38.200001	17.309
38.700001	17.740
39.500000	19.122
40.000000	18.671
40.599998	16.457
41.200001	13.311
41.799999	10.984
42.500000	9.382
43.099998	6.962
43.700001	4.933
44.400002	5.520
45.000000	6.706
45.500000	7.472
46.200001	7.695
46.799999	7.357
47.500000	8.151
48.200001	10.290
48.700001	11.474
49.400002	11.981
50.000000	11.750
50.799999	11.415
51.500000	11.568
52.200001	12.417
53.000000	13.697
53.799999	14.279
54.500000	15.066
55.200001	17.630
56.000000	21.557
57.000000	25.179
58.000000	26.179
59.000000	24.575
60.000000	22.853
60.799999	22.890
61.500000	22.465
62.200001	21.038
63.000000	19.290
64.000000	18.611
65.000000	18.752
66.000000	19.280
67.000000	20.504
68.000000	21.886
69.000000	22.134
70.000000	21.611
71.000000	20.878
72.000000	19.680
73.000000	19.387
74.000000	20.064
75.000000	20.825
76.199997	22.142
